"profile_id";"task_id";"quantity";"load_dttm"
"8Wz9hjuAFauX4sz5afU0";"1";"1";"20220608_170000"
"8acNZuuEysnqpdLCUg8Z";"1";"1";"20220608_170000"
"8kZ3by6QW2Ji_zM4iifW";"1";"1";"20220608_170000"
"8mCmBiYneS6PiJDOOa-d";"1";"1";"20220608_170000"
"8mPK2plN-IpNzKl_HEB9";"1";"1";"20220608_170000"
"8omvs4208eBkFP1S_puF";"1";"1";"20220608_170000"
"8zh-Ay29sn_d96gGKZyQ";"1";"1";"20220608_170000"
"8zh-Ay29sn_d96gGKZyQ";"1";"1";"20220608_170000"
"90UdzLFgOzUk0RFvom8b";"1";"1";"20220608_170000"
"91e6Dyk980ycSwnCC6sX";"1";"1";"20220608_170000"
"94dFWZUu_C4rCE193a9F";"1";"1";"20220608_170000"
"9BQtRJHoqw01snGzfmih";"1";"1";"20220608_170000"
"9FDYuHKWlVT2fbVoiF3U";"1";"1";"20220608_170000"
"9FHnaNEqVdkqjlAb_7PE";"1";"1";"20220608_170000"
"9IlyYWozvTuCO_flEV-8";"1";"1";"20220608_170000"
"9Wj7xcYSUuKV9ZYRVuF3";"1";"1";"20220608_170000"
"9YxgReK7YfQHMcYZzZr_";"1";"1";"20220608_170000"
"9djAsf-g3hp9J47vrO6V";"1";"1";"20220608_170000"
"9hAi3VEONKc605i2OnNg";"1";"1";"20220608_170000"
"9r15h6NgkaY14beLW6ES";"1";"1";"20220608_170000"
"9zfexzt7DDz2frUx6ZZg";"1";"1";"20220608_170000"
"9zfexzt7DDz2frUx6ZZg";"1";"1";"20220608_170000"
"9zfexzt7DDz2frUx6ZZg";"1";"1";"20220608_170000"
"9zfexzt7DDz2frUx6ZZg";"1";"1";"20220608_170000"
"9zfexzt7DDz2frUx6ZZg";"1";"1";"20220608_170000"
"A4_QpebHEF2xI7ZckT4s";"1";"1";"20220608_170000"
"AEf3jwdSgPHLXLekz5YH";"1";"1";"20220608_170000"
"AMjWhVCyOJ5JXtt_QqAR";"1";"1";"20220608_170000"
"ANBIAqyJ4oTotRQOTDUe";"1";"1";"20220608_170000"
"APWdSsERkzSX_BIVugYX";"1";"1";"20220608_170000"
"AQmfM22u_IIVNJ_LzYKp";"1";"1";"20220608_170000"
"AS1NoYePJ-H4mJFUYI_o";"1";"1";"20220608_170000"
"AUTrNjRddEgLYQXW5spE";"1";"1";"20220608_170000"
"A_dDIgcqkL6tkIcTQBYd";"1";"1";"20220608_170000"
"Adn7JSsmujlfPuYkL0VO";"1";"1";"20220608_170000"
"Aws5GaLlkQYv5hBZI7bZ";"1";"1";"20220608_170000"
"B1nHq75PmTIYTtvCU9iN";"1";"1";"20220608_170000"
"B5Dykq1-dLNWBFA8WmGQ";"1";"1";"20220608_170000"
"B7M8048zawpMNUCgLPPj";"1";"1";"20220608_170000"
"BGqGu4xrZQeKjlLXY2dN";"1";"1";"20220608_170000"
"BGqGu4xrZQeKjlLXY2dN";"1";"1";"20220608_170000"
"BUwvlZ1qqJv7_zRRbn1r";"1";"1";"20220608_170000"
"BWXQGZeTtBUJyrpicDp0";"1";"1";"20220608_170000"
"BXyJSaXr3Bdkew9LQAd4";"1";"1";"20220608_170000"
"BYzf7XPSfSjMiy6QnWuV";"1";"1";"20220608_170000"
"B_umRHsT0rCG4ur50vg7";"1";"1";"20220608_170000"
"BdNvWhZSzD0N0TSo3cAf";"1";"1";"20220608_170000"
"BjWxg43j75_eCBBTG4cY";"1";"1";"20220608_170000"
"C-cBrqGo8Wnxj-4vpgMP";"1";"1";"20220608_170000"
"CDDXw1fJeVmhPvAjHwT8";"1";"1";"20220608_170000"
"CH-D9ppgD_hWPkKMs5A2";"1";"1";"20220608_170000"
"CH4DIc0-c4_cYhPLdNPz";"1";"1";"20220608_170000"
"CRfasiimM23wBL0wxGrV";"1";"1";"20220608_170000"
"CS2QXkKu2lW8HMzZjmyZ";"1";"1";"20220608_170000"
"CUIJFQVPp91X_Vb41mpv";"1";"1";"20220608_170000"
"CV1PNfN-25W_p89bqXoQ";"1";"1";"20220608_170000"
"CZbeMnm08PEZnxAPJpWe";"1";"1";"20220608_170000"
"Cn4Jukl7U8SfV-fslEcS";"1";"1";"20220608_170000"
"D-RH60d4a2w3TmTjuFCn";"1";"1";"20220608_170000"
"D-wY1Lso_Y1-Dr3u6sf_";"1";"1";"20220608_170000"
"D5Rbb7JwbY7wECfeSwJT";"1";"1";"20220608_170000"
"D5Rbb7JwbY7wECfeSwJT";"1";"1";"20220608_170000"
"D5Rbb7JwbY7wECfeSwJT";"1";"1";"20220608_170000"
"D5Rbb7JwbY7wECfeSwJT";"1";"1";"20220608_170000"
"D5Rbb7JwbY7wECfeSwJT";"1";"1";"20220608_170000"
"D5igsZDZ5wCI6fOiOezS";"1";"1";"20220608_170000"
"D5kiJA-jkk2tRSupy2Zp";"1";"1";"20220608_170000"
"D73ps8yQ1PxXHGa41fQs";"1";"1";"20220608_170000"
"DEgBAynbRHWvJjDbtmIO";"1";"1";"20220608_170000"
"DH1BhQjpNj41G1kkpT2c";"1";"1";"20220608_170000"
"DN1cL2CR4sLvVT1561JS";"1";"1";"20220608_170000"
"DgEc7GUPDnLPCyUWbNgV";"1";"1";"20220608_170000"
"Djpm4H0Y2NYDhsGXizK2";"1";"1";"20220608_170000"
"DmlUZPvgukR9R_D9xf4Y";"1";"1";"20220608_170000"
"DpTonIRFSrAmh6WxZnmk";"1";"1";"20220608_170000"
"DvymriXQWF1UO1Nan8GI";"1";"1";"20220608_170000"
"Dzd_WKopcTiWJjr-hDYI";"1";"1";"20220608_170000"
"E7wBZxZYKbAhIYbw_tgr";"1";"1";"20220608_170000"
"E8dzlPOe6EMItABI42eL";"1";"1";"20220608_170000"
"EDG8CEw2ck0TulsnY-Sa";"1";"1";"20220608_170000"
"EDG8CEw2ck0TulsnY-Sa";"1";"1";"20220608_170000"
"EDG8CEw2ck0TulsnY-Sa";"1";"1";"20220608_170000"
"EDG8CEw2ck0TulsnY-Sa";"1";"1";"20220608_170000"
"EDG8CEw2ck0TulsnY-Sa";"1";"1";"20220608_170000"
"EDG8CEw2ck0TulsnY-Sa";"1";"1";"20220608_170000"
"EDG8CEw2ck0TulsnY-Sa";"1";"1";"20220608_170000"
"EDG8CEw2ck0TulsnY-Sa";"1";"1";"20220608_170000"
"EHwn1kHCMCdU9rhRoORd";"1";"1";"20220608_170000"
"EKXclg215rJ-Osrfuq4f";"1";"1";"20220608_170000"
"EUogoIkxBVfcLcSysG2A";"1";"1";"20220608_170000"
"E_QFXl63P7UVfwCg4ooW";"1";"1";"20220608_170000"
"EexkMMK1jiiODGW6rKZy";"1";"1";"20220608_170000"
"EeyJLQIwqEEWBpI98LJB";"1";"1";"20220608_170000"
"EkqpXsg1ZfCNq_wm7t8Z";"1";"1";"20220608_170000"
"ElxZCKLKsk7jU7_CAehZ";"1";"1";"20220608_170000"
"EyzewzWWu5Gns08yyx45";"1";"1";"20220608_170000"
"F-vFHJ9rTB94Ol4zs4so";"1";"1";"20220608_170000"
"F7D5gZ6JSxWNnl9KrodM";"1";"1";"20220608_170000"
"F82lm1z7lyIT1SVA91iP";"1";"1";"20220608_170000"
"FKXh5gKPqLLaAjdpaEqP";"1";"1";"20220608_170000"
"FMHSv4n1fTp5UBvE036A";"1";"1";"20220608_170000"
"FOJYZFF4rQ_vc9hSSU34";"1";"1";"20220608_170000"
"FUOw6k1kVrtWu8k7cUyg";"1";"1";"20220608_170000"
"FWEDSIlRn-XC5nnbNBNf";"1";"1";"20220608_170000"
"FYjYJOokijndJkvClojB";"1";"1";"20220608_170000"
"Fdg90a8ipbaZ-C-iFjfs";"1";"1";"20220608_170000"
"FdtC2HAkYvLgcNL2gdnm";"1";"1";"20220608_170000"
"FjzKvSnB9nZXRhd9LcQw";"1";"1";"20220608_170000"
"FvU4KKicGcRYf56_jMQB";"1";"1";"20220608_170000"
"Fyl5ZnT3fI1GFcFWP3Yw";"1";"1";"20220608_170000"
"FzX7Tr0Z1_LcAJJyGizx";"1";"1";"20220608_170000"
"FzX7Tr0Z1_LcAJJyGizx";"1";"1";"20220608_170000"
"G4TD07iOiWte5W--gs4D";"1";"1";"20220608_170000"
